Community Area Name,Community Area Number,Property Type,Property Name,Address,Zip Code,Phone Number,Management Company,Units,X Coordinate,Y Coordinate,Latitude,Longitude,Location
Near West Side,28,ARO,The Mason,180 N. Ada St.,60607,312-809-0240,Marquette Management Inc.,26,,,,,
Auburn Gresham,71,Multifamily,Stone Terrace,8440 S. Parnell Ave.,60620,773-651-9234,East Lake Management & Development Corp.,56,1174067.01615288,1848682.07381399,41.740186358,-87.6378199128,"(41.740186358, -87.6378199128)"
Oakland,36,Multifamily,Lakefront Phase II,4116 S. Oakenwald Ave.,60653,773-548-8795,"Urban Property Advisors, LLC",3,1184335.35688206,1877697.18288526,41.8195724964,-87.5992908459,"(41.8195724964, -87.5992908459)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,3341 W. Ohio St.,60624,773-227-6332,Bickerdike Apts.,16,1153814.92396768,1903755.65009439,41.8917408493,-87.7105592395,"(41.8917408493, -87.7105592395)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,505 N. Troy St.,60612,773-227-6332,Bickerdike Apts.,6,1155324.88371286,1903322.6402453,41.8905224214,-87.7050254597,"(41.8905224214, -87.7050254597)"
Uptown,3,Senior,Wilson Yard Senior Apts.,1032 W. Montrose Ave,60613,866-227-0438,Holsten Real Estate Dev. Corp.,13,1168438.95915947,1929421.64959164,41.9618658533,-87.6561074284,"(41.9618658533, -87.6561074284)"
North Lawndale,29,Multifamily,Park Douglas,1255 S. Fairfield Ave.,60608,773-893-4800,Interstate Realty Management Co.,5,1158274.68324626,1894003.77884424,41.8648907888,-87.69444711,"(41.8648907888, -87.69444711)"
Washington Park,40,People with Disabilities,"Brand New Beginnings, Inc.",5801 S. Michigan Ave.,60637,773-955-5780,Harriet Tubman NFP,25,1178188.16376156,1866559.65473616,41.7891520073,-87.6221790762,"(41.7891520073, -87.6221790762)"
Garfield Ridge,56,Senior,Midway Pointe Senior Living,5011 W. 47th St.,60638,872-302-4010,Perlmark Realty Management LLC,85,1143675.61265146,1872964.36205315,41.8074412435,-87.748566779,"(41.8074412435, -87.748566779)"
Lower West Side,31,Multifamily,Casa Morelos,2015 S. Morgan St.,60608,312-666-1323,The Resurrection Project,4,1170049.33643376,1890417.78410833,41.8548019389,-87.6513269744,"(41.8548019389, -87.6513269744)"
West Town,24,ARO,Luxe on Chicago,1838 W. Chicago Ave.,60622,312-424-6225,Fifield Co.,4,1163828.86863114,1905410.00338341,41.8960751868,-87.6737358367,"(41.8960751868, -87.6737358367)"
Grand Boulevard,38,Multifamily,Bronzeville Family Apts.,400 E. 41st St.,60653,773-924-2100,Peoples Co-Op Management Service,60,1179638.24834182,1877940.68309984,41.8203495003,-87.6165141095,"(41.8203495003, -87.6165141095)"
North Lawndale,29,Multifamily,Park Douglas,2639 W. 12th Pl,60608,773-893-4800,Interstate Realty Management Co.,5,1158801.29809112,1894249.27204366,41.8655536764,-87.6925071703,"(41.8655536764, -87.6925071703)"
Woodlawn,42,Multifamily,65th Street Apts.,6600 S. Greenwood Ave.,60637,773-684-2056,"Urban Property Advisors, LLC",42,1184316.03789517,1861429.0767049,41.7749319632,-87.5998709117,"(41.7749319632, -87.5998709117)"
West Town,24,Multifamily,Borinquen Bella Apts.,"1414,1451 N. Washtenaw Ave.",60622,773-276-5338,LUCHA,23,1158113.71413063,1909378.97804077,41.9070850396,-87.6946179242,"(41.9070850396, -87.6946179242)"
South Shore,43,Senior,Senior Suites of South Shore,2355 E. 67th St.,60649,773-324-2333,Senior Lifestyle Corp.,55,1193073.32299015,1860960.16278232,41.7734357917,-87.567783821,"(41.7734357917, -87.567783821)"
Woodlawn,42,Multifamily,Trianon Lofts,803 E. 61st St.,60637,773-955-8668,Preservation Housing Management LLC,12,1182659.1180954,1864701.71376933,41.7839509995,-87.6058433794,"(41.7839509995, -87.6058433794)"
Humboldt Park,23,Multifamily,Nelson Mandela Apts.,3525 W. Ohio St.,60624,773-227-6332,Bickerdike Apts.,6,1152627.17934622,1903731.70210874,41.891698707,-87.7149219479,"(41.891698707, -87.7149219479)"
Douglas,35,Multifamily,South Park Plaza,2600 S. King Dr.,60616,312-674-9210,Woodlawn Comm. Dev. Corp.,134,1179206.47233066,1887158.19586824,41.8456529118,-87.617816391,"(41.8456529118, -87.617816391)"
Austin,25,Multifamily,Rebecca Walker Complex,223-9 S. Central Ave.,60644,773-261-1550,Affordable Property Management Specialist,12,1139130.07558624,1898499.87339709,41.8775981392,-87.7646186402,"(41.8775981392, -87.7646186402)"
Lincoln Square,4,ARO,Ravenswood Terrace,1801-15 W. Argyle St.,60640,773-444-8733,Kass Management,15,1163292.38201681,1933204.70289035,41.9723567701,-87.6749222533,"(41.9723567701, -87.6749222533)"
Lower West Side,31,Multifamily,Casa Colima,1427 W. Cullerton St.,60608,312-666-1323,The Resurrection Project,3,1167051.02171783,1890476.21349957,41.8550270973,-87.6623303609,"(41.8550270973, -87.6623303609)"
Englewood,68,Senior,Yale Building,6565 S. Yale Ave.,60621,773-224-7669,Yale Building LLP,140,1175681.09174387,1861260.69103322,41.7746676247,-87.6315301982,"(41.7746676247, -87.6315301982)"
East Garfiled Park,27,Multifamily,Harvest Homes,3512-46 W. Fifth Ave.,60624,312-216-5103,Realty & Mortgage Co.,36,1153024.16159639,1898153.84204896,41.8763846236,-87.7136119356,"(41.8763846236, -87.7136119356)"
Logan Square,22,Multifamily,Tierra Linda Apts.,1929 N. Drake Ave.,60647,773-276-5338,LUCHA,3,,,,,
North Lawndale,29,Multifamily,Park Douglas,2707 W. 12th St.,60808,773-893-4800,Interstate Realty Management Co.,5,1158459.37012223,1894563.61321959,41.8664232575,-87.6937538097,"(41.8664232575, -87.6937538097)"
Washington Park,40,Multifamily,St. Edmund's Oasis,300-10 E. 61st St.,60637,773-493-2411,St. Edmund's Redevelopment Corp.,12,1179107.39547042,1864667.29567815,41.7839382764,-87.6188662443,"(41.7839382764, -87.6188662443)"
Grand Boulevard,38,Multifamily,Legends South - Coleman Place,223 E. 41st St.,60653,773-268-0202,Interstate Realty Management Co.,118,1178573.51974712,1877831.6285598,41.820074554,-87.6204232972,"(41.820074554, -87.6204232972)"
Humboldt Park,23,Supportive Housing,Humboldt Park Residences,1152 N. Christiana Ave.,60647,773-276-5338 ext. 225,LUCHA,69,1153731.44110721,1907707.14811704,41.9025857989,-87.7107605283,"(41.9025857989, -87.7107605283)"
North Lawndale,29,Multifamily,Dicksons Estates Apts.,1129 S. Sacramento Ave.,60612,773-638-0386,Dickson Estates Apartments,48,1156574.00873721,1894894.5102467,41.8673696101,-87.7006662254,"(41.8673696101, -87.7006662254)"
Near West Side,28,Multifamily,Westhaven Park Phase IIA,2237 W. Maypole Ave.,60612,312-455-0009,Interstate Realty Management Co.,92,1161390.34745167,1900920.96640233,41.8838079875,-87.6828170157,"(41.8838079875, -87.6828170157)"
South Chicago,46,Supportive Housing,Bettendorf Place SRO,8425 S. Saginaw Ave.,60617,773-359-4902,Alexian Brothers Bonaventure House,112,1195337.91888013,1849509.65051407,41.7419591238,-87.5598598952,"(41.7419591238, -87.5598598952)"
Uptown,3,Multifamily,Uptown Preservation Apts.,927 W. Wilson Ave.,60640,773-286-5400,Leasing & Management Co. Inc.,18,1169143.77263049,1930693.074083,41.9653393681,-87.653479057,"(41.9653393681, -87.653479057)"
Humboldt Park,23,Multifamily,Rosa Parks Apts.,521 N. St. Louis Ave.,60624,773-227-6332,Bickerdike Apts.,6,1152991.42864546,1903446.15546262,41.8909079269,-87.7135917923,"(41.8909079269, -87.7135917923)"
Washington Heights,73,Senior,Senior Suites of Washington Heights,848 W. 103rd St.,60643,773-233-1333,Senior Lifestyle Corp.,82,1172263.72668949,1836577.477182,41.7070094274,-87.6447816603,"(41.7070094274, -87.6447816603)"
Grand Boulevard,38,Multifamily,Paul G. Stewart Phase III Tower,401 E. Bowen Ave.,60653,312-924-2100,Paul G. Stewart Assoc.,180,1179658.64737422,1877532.34194995,41.8192285127,-87.6164517753,"(41.8192285127, -87.6164517753)"
Pullman,50,Senior,Pullman Suites,15 E. 112th Place,60628,773-840-3993,Triangle & Assoc.,60,1178428.44188676,1830343.03041337,41.6897637422,-87.6223950849,"(41.6897637422, -87.6223950849)"
Near North Side,8,Multfamily,Parkside of Old Town IIB,1151 N. Cleveland Ave.,60622,312-944-8500,Holsten Real Estate Dev. Corp.,12,1172709.40772697,1907999.78747232,41.902989721,-87.6410428925,"(41.902989721, -87.6410428925)"
Near South Side,33,Multifamily,Hilliard Homes Phase I,2030 S. State St.,60616,312-225-7610,Holsten Real Estate Dev. Corp.,170,1176604.64229673,1890373.50349659,41.854535033,-87.6272677388,"(41.854535033, -87.6272677388)"
Washington Park,40,Multifamily,St. Edmund's Commons,110 E. 60th St.,60637,773-420-3328,St. Edmund's Redevelopment Corp.,54,1178315.99392656,1865303.08525837,41.7857009548,-87.6217485015,"(41.7857009548, -87.6217485015)"
Near West Side,28,Senior,Loomis Court,1314 W. 15th St.,60608,312-850-4128,CHA,68,1167767.39496695,1892902.58116516,41.8616698673,-87.659631083,"(41.8616698673, -87.659631083)"
Grand Boulevard,38,Multifamily,Cornerstone Apts.,636 E. 50th St.,60615,312-577-5555,The Community Builders Inc.,5,1181481.55432879,1872046.50954937,41.804133024,-87.6099341196,"(41.804133024, -87.6099341196)"
